Card#,Title,Artist,Year,SpotifyURL
77,The Winner Takes It All,ABBA,1980,https://open.spotify.com/track/3oEkrIfXfSh9zGnE7eBzSV
78,If You Believe,Sasha,1998,https://open.spotify.com/track/3Nr7RPHiDQ01tAXVcufeUW
79,Living To Love You - Single Version,Sarah Connor,2004,https://open.spotify.com/track/2mTHOerIGzhdTOm1pgW4kf
80,I've Been Thinking About You,Londonbeat,1990,https://open.spotify.com/track/50PeqUz1BjMw9ayNTk5O4d
81,Bad Day,Daniel Powter,2005,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK
82,Living Next Door to Alice,Smokie,1976,https://open.spotify.com/track/57TaM8GozkJBz90xvQ1xME
83,Hedonism (Just Because You Feel Good),Skunk Anansie,1996,https://open.spotify.com/track/0KPWi8mDRagwxnwaA0di8a
84,The One and Only,Chesney Hawkes,1991,https://open.spotify.com/track/5o5U2r5F3ojvkhLSqRbY1Y
85,Fly Robin Fly,Silver Convention,1975,https://open.spotify.com/track/4Wr14AISsCuBGdkA6rids4
86,Red Red Wine,UB40,1983,https://open.spotify.com/track/4uOKFydzAejjSFqYbv1XPt
87,People Are People,Depeche Mode,1984,https://open.spotify.com/track/4WoKuMjwJXuy9IqX6AH5JE
88,I Want To Hold Your Hand,The Beatles,1963,https://open.spotify.com/track/5J3Mf6dyqeGy67yuQ7ql9B
89,Narcotic - Radio Edit,Liquido,1998,https://open.spotify.com/track/1H5VQuShs4qfwBXyHF0PeH
90,Papa Was A Rollin' Stone - Single Version,The Temptations,1972,https://open.spotify.com/track/7MiLmLbwNoyf47xQ4TCVYp
91,A Girl Like You,Edwyn Collins,1995,https://open.spotify.com/track/0MteK167vtyb6hoJNC3Uz3
92,Sign of the Times,Harry Styles,2017,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
93,Dream Lover,Bobby Darin,1959,https://open.spotify.com/track/1KLpjQFgubHI3GkAICCNH3
94,Behind Blue Eyes,Limp Bizkit,2003,https://open.spotify.com/track/1MTQHCpraD4S8g5PAFKzoj
95,Patience,Take That,2006,https://open.spotify.com/track/4DxybsoSiMUW0JI2oM0SSN
96,Photograph,Ed Sheeran,2014,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
97,Underneath Your Clothes,Shakira,2001,https://open.spotify.com/track/15f8Cv8RXUlOOCIf2oaceN
98,Always - 2009 Remaster,Erasure,1994,https://open.spotify.com/track/6oMJFVhbm5jIw0wly7e7Rm
99,Don't Let Me Be Misunderstood,Santa Esmeralda,1977,https://open.spotify.com/track/6rhVKeUhQTGLIRmQOfc9Wo
100,The Sound of Silence,Disturbed,2015,https://open.spotify.com/track/0eZBeB2xFIS65jQHerispi
101,Dreadlock Holiday,10cc,1978,https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun
102,Quit Playing Games (With My Heart),Backstreet Boys,1996,https://open.spotify.com/track/0Uqs7ilt5kGX9NzFDWTBrP
103,Human,Rag'n'Bone Man,2016,https://open.spotify.com/track/5LLRo6dCGxg4PZmtSqNzrZ
104,Crying At the Discoteque,Alcatraz,2000,https://open.spotify.com/track/5UcMexhqzhHXwGvYuA6kVj
105,Eternal Flame,The Bangles,1988,https://open.spotify.com/track/5MoDQWMDMaAGDEiWsJfeCi
106,Mamma Maria,Ricchi E Poveri,1982,https://open.spotify.com/track/7tVEeTbzEJkHP0EqUu6rmf
107,Sweet Harmony,The Beloved,1993,https://open.spotify.com/track/5lSOVaPDk7x9Ey6c9DqGZx
108,Dreamer,Ozzy Osbourne,2001,https://open.spotify.com/track/78PKCefXwDLbl4FVO1Pjzh
109,Like The Way I Do,Melissa Etheridge,1988,https://open.spotify.com/track/3Fe3L3N5pGaa0BBT4eVypZ
110,Save the Last Dance for Me,The Drifters,1960,https://open.spotify.com/track/391TUcoPonqYykPkSZ5Z9U
111,Far Far Away,Slade,1974,https://open.spotify.com/track/3SZkTTibswLaKIEyEfaAFM
112,Dreams Are Ten A Penny,John Kincade,1972,https://open.spotify.com/track/0pYnn4OIYqaWvf7f0m2Suh
113,When We Stand Together,Nickelback,2011,https://open.spotify.com/track/4bCOAuhvjsxbVBM5MM8oik
114,Video Killed The Radio Star - Single Version,The Buggles,1979,https://open.spotify.com/track/7nm8w9dMwTjlWDosdnxBSn
115,Run,Leona Lewis,2008,https://open.spotify.com/track/69sRLJM4Wy2ykLs92f7prG
116,Ain't No Sunshine - Single Version,Bill Withers,1971,https://open.spotify.com/track/7kWaNdfYcumoC1cgFmhkSo
117,Why Does It Always Rain On Me?,Travis,1999,https://open.spotify.com/track/5MmWgG5KgiqSxkOZdVXRQA
118,The Sound of Musik,Falco,1986,https://open.spotify.com/track/54OoOYiMFZbt0m4KPW66GJ
119,Maria Magdalena,Sandra,1985,https://open.spotify.com/track/3i78L3PrYSUoz9PhNbm9wb
120,Destiny,Jennifer Rush,1985,https://open.spotify.com/track/2G1P5HoHl95ZWKmK4P9g47
121,How Do You Do!,Roxette,1992,https://open.spotify.com/track/4uaOAGGlLbUeQy6NPzmRNe
122,The Last Unicorn,America,1982,https://open.spotify.com/track/59uopHNpuKcozG1GQlZOiY
123,Lucifer,The Alan Parsons Project,1979,https://open.spotify.com/track/1TbRZnqPsTaQWleIA8HJO0
124,Maria,Blondie,1999,https://open.spotify.com/track/7bOYOD0d7ByMTXvJnQVl8d
125,I Love You Always Forever,Donna Lewis,1996,https://open.spotify.com/track/1PEqh7awkpuepLBSq8ZwqD
