Card#,Title,Artist,Year,SpotifyURL
68,"Buffy, im Bann der Dämonen - Buffy The Vampire Slayer",Nerf Herder,1997,https://open.spotify.com/track/4cM1cgrwLnJo143LnXLD4h
69,L.A. Law - Law & Order,Dominik Hauser,1986,https://open.spotify.com/track/1uGAELzmPgVn1hRMrjVuQ9
70,8 Mile (Lose Yourself),Eminem,2002,https://open.spotify.com/track/1a3xfVZyJnlKn4t65ccBbp
71,Fluch der Karibik (He's a Pirate),Klaus Badelt,2003,https://open.spotify.com/track/4AD2dterIUjNt1LFNI9Bvi
72,"Drei Mädchen und drei Jungen - The Brady Bunch","Sherwood Schwartz, Frank Devol",1969,https://open.spotify.com/track/3OPaRoDgpI4LOrh8IoBAh4
73,Greatest Showman (This Is Me),Keala Settle,2017,https://open.spotify.com/track/45aBsnKRWUzhwbcqOJLwfe
74,Forrest Gump (Forrest Gump Suite),Alan Silvestri,1994,https://open.spotify.com/track/655OjsI6LbHdo3565qEfbE
75,Coyote Ugly (Can't Fight The Moonlight),LeAnn Rimes,2000,https://open.spotify.com/track/10FP9hm2aFfAIKEopqaG9D
76,How I Met Your Mother,Hey Beautiful,2005,https://open.spotify.com/track/1NdpUcsAG5mA3kZbGWc4TH
77,Die Stunde des Siegers,Vangelis,1981,https://open.spotify.com/track/2WatMna4dkHY25Xo4y260V
78,Chicago (Cell Block Tango),Catherine Zeta-Jones,2002,https://open.spotify.com/track/28Tmk14BdrfaV2YzxpB35c
79,Transformers (What I've Done),Linkin Park,2007,https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd
80,Bad Boys,Inner Circle,1995,https://open.spotify.com/track/1NojrDCqDLh4dWRZ7F589Q
81,The Twilight Saga: Breaking Dawn (A thousand years),Christina Perri,2008,https://open.spotify.com/track/6z5Yh7kOKeLjqIsNdokIpU
82,Dallas,Dominik Hauser,1978,https://open.spotify.com/track/2vuzSRHcqyoAylvQNADhqQ
83,Der Herr der Ringe (The Shire),Howard Shore,2001,https://open.spotify.com/track/6zW80jVqLtgSF1yCtGHiiD
84,Braveheart (For The Love Of A Princess),James Horner,1995,https://open.spotify.com/track/22yxHt6UqZpH7tP6W4PooI
85,Drei Engel für Charlie,Jack Elliot,1976,https://open.spotify.com/track/0QfRHVC2e1v3uRF7SJx9Yl
86,Highlander - Es kann nur einen geben (Princes Of The Universe),Queen,1986,https://open.spotify.com/track/0uqxCauZehG4k3WmXbQxGm
87,Mannequin (Nothing's Gonna Stop Us Now),Starship,1987,https://open.spotify.com/track/3X7uFMzJrEE0sxn62qd8Ch
