Card#,Title,Artist,Year,SpotifyURL
93,Ain't Nobody,"Rufus, Chaka Khan",1983,https://open.spotify.com/track/53Za5vyGc1x7GxgJVRjRKc
94,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU
95,(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",1987,https://open.spotify.com/track/6W7ztLBiRzBN46ZaPAcQ0F
96,Piu bella cosa,Eros Ramazzotti,1996,https://open.spotify.com/track/14NveZNbN4weSaX2vM0F2W
97,No Son Of Mine,Genesis,1991,https://open.spotify.com/track/2wxKRreeo9oqKW8eOA3MvE
98,Happy,Pharrell Williams,2013,https://open.spotify.com/track/0eMxgAHmuvoqpLyYQrbKvQ
99,Wonderwall,Oasis,1995,https://open.spotify.com/track/1qPbGZqppFwLwcBC1JQ6Vr
100,You Can't Hurry Love,The Supremes,1966,https://open.spotify.com/track/1OppEieGNdItZbE14gLBEv
101,Gold Digger,"Kanye West, Jamie Foxx",2005,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ
102,Ich will Spass,Markus,1982,https://open.spotify.com/track/7nm6a7k5eCmKPC9t3Bykzb
103,Lady - Hear Me Tonight,Modjo,2000,https://open.spotify.com/track/70HxNVlYQ0Hi6XqBtPLw80
104,She Drives Me Crazy,Fine Young Cannibals,1988,https://open.spotify.com/track/4d6eqRtpDX7tydHJGDZUBQ
105,Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,1956,https://open.spotify.com/track/5RX1E2J3qyF5MDSxPAxNtK
106,Moskau,Dschinghis Khan,1979,https://open.spotify.com/track/5t77UGzgSBRDDnaxJvE9R3
107,Cotton Eye Joe,Rednex,1994,https://open.spotify.com/track/06hsdMbBxWGqBO0TV0Zrkf
108,I Can Help,Billy Swan,1974,https://open.spotify.com/track/4oW1lGOw5Q5OLvoJv92qoE
109,Dancing In the Dark,Bruce Springsteen,1984,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE
110,Day-O (The Banana Boat Song),Harry Belafonte,1956,https://open.spotify.com/track/43IKDWv0QrE1fl2mwWj9qw
111,Ich will 'nen Cowboy als Mann,Gitte Haenning,1963,https://open.spotify.com/track/6fsTEzoIeqlkydroKJqQAc
112,Break My Heart,Dua Lipa,2020,https://open.spotify.com/track/5YDD6DuZ04mKQtm0avJTJd
113,Wrecking Ball,Miley Cyrus,2013,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE
114,Jailhouse Rock,Elvis Presley,1957,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE
115,Adore You,Harry Styles,2019,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
116,Good Golly Miss Molly,Little Richard,1958,https://open.spotify.com/track/32fZXsDwoDchpdtsCmeo0o
117,The Ketchup Song ,Las Ketchup,2002,https://open.spotify.com/track/6UEfyhyfhYQsyipxOd95Ie
118,"Relax, Take It Easy",MIKA,2007,https://open.spotify.com/track/1kmhdq0RfZFdfSLaTsiTVi
119,I'm a Believer,The Monkees,1966,https://open.spotify.com/track/1CSLeVCXmetBh8IkTPMFdL
120,Schuld war nur der Bossa Nova,Manuela,1963,https://open.spotify.com/track/1CvxZLhcpg33Wk892MJRUC
121,I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",2012,https://open.spotify.com/track/12zpU2S4lMdrK9dvsOoL1m
122,World Hold on (Children of the Sky),Bob Sinclair,2006,https://open.spotify.com/track/3HGwI9qwq5XqBDeZBV3zti
123,Born To Be Wild,Steppenwolf,1968,https://open.spotify.com/track/2VPGmrcBw5X4yAu3B8UZNE
124,Valerie (feat. Amy Winehouse),"Mark Ronson, Amy Winehouse",2007,https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7
125,(What A) Wonderful World,Sam Cooke,1960,https://open.spotify.com/track/2g2GkH3vZHk4lWzBjgQ6nY
126,Männer,Herbert Grönemeyer,1984,https://open.spotify.com/track/2PfEAFaaLabTXfmlV58LIj
127,You Get What You Give,New Radicals,1998,https://open.spotify.com/track/1Cwsd5xI8CajJz795oy4XF
128,Mama,Heintje,1968,https://open.spotify.com/track/1QTi1rZx1VOWcM4T2wD49V
129,My Heart Will Go On,Celine Dion,1997,https://open.spotify.com/track/33LC84JgLvK2KuW43MfaNq
130,Dancing On The Ceiling,Lionel Richie,1986,https://open.spotify.com/track/0snPJPxkk0MbTc0xeUvAPt
131,Give It Up,KC & The Sunshine Band,1982,https://open.spotify.com/track/3yDhZq8f17SmumVmEyCaRN
132,Feel,Robbie Williams,2002,https://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo
