Card#,Title,Artist,Year,SpotifyURL
123,Mamma Mia,ABBA,1975,https://open.spotify.com/track/2TxCwUlqaOH3TIyJqGgR91
124,Girl on Fire,Alicia Keys,2012,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco
125,Light My Fire,The Doors,1967,https://open.spotify.com/track/5uvosCdMlFdTXhoazkTI5R
126,Blueprint,Rainbirds,1987,https://open.spotify.com/track/72zOETQxh17gpQbYmEhzTM
127,Deutschland,Die Prinzen,2001,https://open.spotify.com/track/0xe5e0PndDrrRqCvV5dUkS
128,Don't Go Breaking My Heart,Elton John & Kiki Dee,1976,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
129,Wer Liebe lebt,Michelle,2001,https://open.spotify.com/track/0MAoOpiamwvXSEgcWkeII2
130,We'll Be Together,Sandra,1989,https://open.spotify.com/track/68lyhX0lekC5MahUf0dXRC
131,We Built This City,Starship,1985,https://open.spotify.com/track/6OnfBiiSc9RGKiBKKtZXgQ
132,Chasing Cars,Snow Patrol,2006,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6
133,First Day of My Life,Melanie C,2005,https://open.spotify.com/track/1kOAGK7iEoIk1iwWXtHTGR
134,Losing My Religion,R.E.M.,1991,https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx
135,Go West,Pet Shop Boys,1993,https://open.spotify.com/track/0D2t9hxLR86LXCTjSngqyC
136,Everybody (Backstreet's Back),Backstreet Boys,1997,https://open.spotify.com/track/1di1BEgJYzPvXUuinsYJGP
137,Flugzeuge im Bauch,Herbert Grönemeyer,1984,https://open.spotify.com/track/4c0LwA8hxZrRVd5y7yCGvl
138,I Ain't Worried,OneRepublic,2022,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
139,Everybody's Free (To Feel Good),Rozalla,1991,https://open.spotify.com/track/1PrlCxehcEi0KvIwKzJuOl
140,Brother Louie,Modern Talking,1986,https://open.spotify.com/track/5zWZ9iNevP0397xB3jWV2z
141,Can't Get You out of My Head,Kylie Minogue,2001,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7
142,Wenn das Liebe ist,GLASHAUS,2001,https://open.spotify.com/track/0jxWQNH6LCGVEIPHIZnfYk
143,Radio,The Corrs,1999,https://open.spotify.com/track/6VU7nC50rpsULZJQiPJUSs
144,Hit the Road Jack,Ray Charles,1961,https://open.spotify.com/track/2HoqbEOXgbDSLZ5XCePEXt
145,She's Got That Light,Orange Blue,2000,https://open.spotify.com/track/4DRqC64lihScDSfDRLVHrX
146,Zucker im Kaffee,Erik Silvester,1969,https://open.spotify.com/track/4b2hgOx2jX9NSOuwXPGaq9
147,Dancing In The Street,Martha Reeves & The Vandellas,1965,https://open.spotify.com/track/6rLqjzGV5VMLDWEnuUqi8q
148,As It Was,Harry Styles,2022,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
149,(It Goes Like) Nanana,Peggy Gou,2023,https://open.spotify.com/track/5Hijdt7rmbj9fUJdXEs6Nz
150,Chandelier,Sia,2014,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
151,Échame La Culpa,Luis Fonsi & Demo Lovato,2017,https://open.spotify.com/track/0mlAOSILGRys2IbvyOT5VJ
152,Complicated,Avril Lavigne,2002,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F
153,Just More,Wonderwall,2002,https://open.spotify.com/track/1AR0pzjw2WvAHlcst59nwT
154,Pan,Costa Cordalis,1980,https://open.spotify.com/track/0stunycasmqAQTHMGdcqT5
155,You Drive Me Crazy,Shakin' Stevens,1980,https://open.spotify.com/track/2j8bXaOBeEeyoY4ZpCcFIW
156,Dynamite,BTS,2020,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
157,Out Of The Dark,Falco,1998,https://open.spotify.com/track/6vgnumRgsZcc5fVFtpIRO1
158,From a Distance,Bette Midler,1990,https://open.spotify.com/track/48eiLW57CqSmCYNZRM2J8M
159,Give A Little Bit,Supertramp,1977,https://open.spotify.com/track/6XUHsYE38CEbYunT983O9G
160,That's the Way (I Like It),KC & The Sunshine Band,1975,https://open.spotify.com/track/2lYe3AhO4dJhBMsvk9uBkw
161,Rivers of Babylon,Boney M.,1978,https://open.spotify.com/track/78His8pbKjbDQF7aX5asgv
162,Billie Jean,Michael Jackson,1982,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
163,La Bamba,Los Lobos,1987,https://open.spotify.com/track/0uMMLry3hzWGn3q3loqMkm
164,Ba-Ba Banküberfall,EAV (Erste Allgemeine Verunsicherung),1985,https://open.spotify.com/track/1LAdc8CC4UZibUnkIbVfX3
165,The Way to Your Heart,Soulsister,1988,https://open.spotify.com/track/0DUtmZD5TK6JwChuMql5ac
166,Song Sung Blue,Neil Diamond,1972,https://open.spotify.com/track/57KfogSy3eKuk5JHLKwCJv
167,Baby,Justin Bieber,2010,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA
168,I'm Too Sexy,Right Said Fred,1991,https://open.spotify.com/track/76gbXfMpFoZJGkPgxgzvFt
169,Here I Go Again,Bnd,1995,https://open.spotify.com/track/2B7TiHgtNL7yjxQu6Elgv1
170,Budapest,George Ezra,2013,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1
171,Hello,Martin Solveig,2010,https://open.spotify.com/track/2Hy89WQAxszEUQAvpja0nx
172,Freiheit,Westernhagen,1990,https://open.spotify.com/track/6To9fZuSGJApjIP9CZJJda
173,Xanadu,Olivia Newton-John & Electric Light Orchestra,1980,https://open.spotify.com/track/0cXFXgFns7sIMmTpqyGRmD
174,Video Games,Lana Del Rey,2011,https://open.spotify.com/track/5UOo694cVvjcPFqLFiNWGU
175,Kiss You All Over,Exile,1978,https://open.spotify.com/track/2JK1wOZCGUDbJOSaHAa8BM
176,Im Wagen vor mir,Henry Valentino & Uschi,1977,https://open.spotify.com/track/41vMiybETaoMluMtgCIF8B
177,We Are The People (feat. Bono & The Edge),Martin Garrix,2021,https://open.spotify.com/track/2iL0W5qi0ivZ9WRXbZ74cS
178,...Baby One More Time,Britney Spears,1999,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa
179,You're Beautiful,James Blunt,2005,https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k
180,Superheroes,The Script,2014,https://open.spotify.com/track/37sINbJZcFdHFAsVNsPq1i
181,We Are Young (feat. Janelle Monáe),fun.,2012,https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD
182,Jojo Action,Mr. President,1997,https://open.spotify.com/track/75LAaoFubEA34fwwLc6xUK
183,Ayo Technology,Milow,2009,https://open.spotify.com/track/6erXlsjsZE7Jvc2p7vpAno
184,Shut Up and Dance,WALK THE MOON,2014,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
185,Achy Breaky Heart,Billy Ray Cyrus,1992,https://open.spotify.com/track/2EoIt9vdgFRNW03u5IvFsQ
186,Ein Herz kann man nicht reparieren,Udo Lindenberg,1991,https://open.spotify.com/track/6rDpddP9TCGQ48LsUcHe8o
187,Bleeding Love,Leona Lewis,2007,https://open.spotify.com/track/7wZUrN8oemZfsEd1CGkbXE
188,Soak Up The Sun,Sheryl Crow,2002,https://open.spotify.com/track/1v2ECI79z8S4PQv9xYwIfU
189,Mandy,Barry Manilow,1974,https://open.spotify.com/track/6iXQrhhgBisdfvS34EMTZ3
